age,Men Pro,Men 1st,Men 2nd,Men 3rd,Men 4th,Men 5th
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,1
9,0,0,0,0,3,3
10,0,0,0,0,0,12
11,0,0,0,0,6,25
12,0,0,0,0,6,28
13,0,0,0,3,23,43
14,0,0,0,6,23,31
15,0,0,0,17,43,29
16,0,0,8,54,55,34
17,0,0,24,42,63,22
18,0,8,26,61,39,34
19,0,21,9,39,51,39
20,9,24,31,29,38,46
21,3,21,19,26,44,29
22,9,29,22,53,56,34
23,6,27,34,32,41,26
24,12,14,18,35,48,29
25,9,15,19,29,67,33
26,8,18,22,32,53,40
27,8,26,22,52,62,40
28,6,23,27,45,66,28
29,2,37,21,54,52,21
30,6,38,45,41,64,28
31,0,28,37,44,74,22
32,9,9,37,51,73,40
33,1,19,21,56,62,23
34,0,18,29,40,59,17
35,0,5,24,44,37,49
36,1,25,23,46,60,31
37,3,10,25,43,48,12
38,0,8,14,39,56,17
39,0,13,27,39,56,30
40,0,12,16,52,50,30
41,0,37,45,48,74,23
42,4,36,31,58,60,24
43,0,17,17,72,57,20
44,0,20,52,72,88,32
45,1,14,59,102,60,22
46,0,45,71,78,83,31
47,0,8,47,97,82,19
48,0,11,22,57,71,14
49,0,15,58,86,82,26
50,0,5,36,73,70,26
51,0,6,40,65,55,20
52,0,9,40,57,51,14
53,0,10,36,58,54,24
54,0,14,20,54,50,12
55,0,5,32,62,76,14
56,0,1,25,42,64,9
57,0,3,8,43,47,8
58,0,5,18,20,34,9
59,0,3,5,24,31,8
60,0,3,7,38,20,17
61,0,0,8,25,13,3
62,0,0,5,24,17,3
63,0,0,3,10,16,6
64,0,0,0,11,13,7
65,0,0,4,3,12,6
66,0,0,2,3,8,4
67,0,0,1,0,4,2
68,0,2,1,5,6,3
69,0,0,3,6,2,0
70,0,0,0,2,1,1
71,0,0,0,7,1,2
72,0,0,1,0,1,1
73,0,0,0,1,2,5
74,0,0,0,1,0,2
75,0,0,0,0,0,3
76,0,0,0,0,2,0
77,0,0,0,0,0,5
78,0,0,0,0,0,3
79,0,0,0,3,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,3
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0